id,label
ENSG00000003147,1
ENSG00000004468,1
ENSG00000004848,1
ENSG00000004866,1
ENSG00000005302,1
ENSG00000005339,1
ENSG00000005421,1
ENSG00000005483,1
ENSG00000005810,1
ENSG00000005882,1
ENSG00000006283,1
ENSG00000006377,1
ENSG00000007314,1
ENSG00000008056,1
ENSG00000008083,1
ENSG00000008086,1
ENSG00000009307,1
ENSG00000009335,1
ENSG00000010318,1
ENSG00000010818,1
ENSG00000011422,1
ENSG00000011485,1
ENSG00000013306,1
ENSG00000014138,1
ENSG00000015133,1
ENSG00000015171,1
ENSG00000021574,1
ENSG00000021645,1
ENSG00000034053,1
ENSG00000036257,1
ENSG00000038382,1
ENSG00000038945,1
ENSG00000040731,1
ENSG00000041515,1
ENSG00000042753,1
ENSG00000042781,1
ENSG00000044090,1
ENSG00000046651,1
ENSG00000047188,1
ENSG00000048140,1
ENSG00000048740,1
ENSG00000049618,1
ENSG00000050344,1
ENSG00000055609,1
ENSG00000058673,1
ENSG00000060140,1
ENSG00000061676,1
ENSG00000064195,1
ENSG00000064687,1
ENSG00000064787,1
ENSG00000065526,1
ENSG00000066279,1
ENSG00000067141,1
ENSG00000067798,1
ENSG00000068024,1
ENSG00000069011,1
ENSG00000069248,1
ENSG00000069535,1
ENSG00000070047,1
ENSG00000070190,1
ENSG00000070366,1
ENSG00000070367,1
ENSG00000070371,1
ENSG00000070444,1
ENSG00000070808,1
ENSG00000071054,1
ENSG00000071242,1
ENSG00000071246,1
ENSG00000071655,1
ENSG00000072080,1
ENSG00000072121,1
ENSG00000072518,1
ENSG00000072682,1
ENSG00000073464,1
ENSG00000073614,1
ENSG00000073756,1
ENSG00000074054,1
ENSG00000074590,1
ENSG00000075043,1
ENSG00000075624,1
ENSG00000075711,1
ENSG00000076003,1
ENSG00000076321,1
ENSG00000076716,1
ENSG00000077063,1
ENSG00000077097,1
ENSG00000077782,1
ENSG00000078328,1
ENSG00000078674,1
ENSG00000078687,1
ENSG00000079102,1
ENSG00000079432,1
ENSG00000079482,1
ENSG00000079841,1
ENSG00000080298,1
ENSG00000080503,1
ENSG00000080603,1
ENSG00000081189,1
ENSG00000081237,1
ENSG00000081479,1
ENSG00000081803,1
ENSG00000081842,1
ENSG00000082898,1
ENSG00000083168,1
ENSG00000083454,1
ENSG00000083857,1
ENSG00000084070,1
ENSG00000084676,1
ENSG00000085224,1
ENSG00000085788,1
ENSG00000085998,1
ENSG00000087085,1
ENSG00000087206,1
ENSG00000087460,1
ENSG00000088038,1
ENSG00000089006,1
ENSG00000089094,1
ENSG00000091009,1
ENSG00000091129,1
ENSG00000091136,1
ENSG00000091428,1
ENSG00000092201,1
ENSG00000092847,1
ENSG00000092964,1
ENSG00000095564,1
ENSG00000095787,1
ENSG00000099331,1
ENSG00000099381,1
ENSG00000099949,1
ENSG00000099954,1
ENSG00000100033,1
ENSG00000100038,1
ENSG00000100207,1
ENSG00000100241,1
ENSG00000100345,1
ENSG00000100346,1
ENSG00000100354,1
ENSG00000100359,1
ENSG00000100393,1
ENSG00000100485,1
ENSG00000100811,1
ENSG00000100852,1
ENSG00000100888,1
ENSG00000101004,1
ENSG00000101040,1
ENSG00000101126,1
ENSG00000101266,1
ENSG00000101337,1
ENSG00000101405,1
ENSG00000101489,1
ENSG00000101680,1
ENSG00000101752,1
ENSG00000101849,1
ENSG00000101883,1
ENSG00000101958,1
ENSG00000102001,1
ENSG00000102081,1
ENSG00000102225,1
ENSG00000102290,1
ENSG00000102781,1
ENSG00000102786,1
ENSG00000102879,1
ENSG00000102882,1
ENSG00000102974,1
ENSG00000103168,1
ENSG00000103197,1
ENSG00000103257,1
ENSG00000103507,1
ENSG00000103528,1
ENSG00000103657,1
ENSG00000103855,1
ENSG00000104093,1
ENSG00000104388,1
ENSG00000104517,1
ENSG00000104728,1
ENSG00000104738,1
ENSG00000104863,1
ENSG00000104936,1
ENSG00000105287,1
ENSG00000105379,1
ENSG00000105409,1
ENSG00000105737,1
ENSG00000105851,1
ENSG00000106089,1
ENSG00000106290,1
ENSG00000106366,1
ENSG00000106477,1
ENSG00000106688,1
ENSG00000106689,1
ENSG00000106714,1
ENSG00000106772,1
ENSG00000107077,1
ENSG00000107099,1
ENSG00000107104,1
ENSG00000107105,1
ENSG00000107816,1
ENSG00000108001,1
ENSG00000108055,1
ENSG00000108175,1
ENSG00000108509,1
ENSG00000108510,1
ENSG00000108557,1
ENSG00000108576,1
ENSG00000108671,1
ENSG00000108953,1
ENSG00000109118,1
ENSG00000109158,1
ENSG00000109536,1
